,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
279,Kuching,75,MY,1547942400,94,1.56,110.34,77.0,1.12
280,Camacha,75,PT,1547942400,77,33.08,-16.33,62.6,14.99
281,Salym,80,RU,1547944405,81,60.06,71.48,19.32,7.09
282,Erenhot,0,CN,1547944406,75,43.65,111.97,-5.07,12.24
283,Velikiy Ustyug,68,RU,1547944408,80,60.76,46.3,15.05,8.21
284,Portland,90,US,1547942160,82,45.52,-122.67,51.98,2.51
285,Ratne,76,UA,1547944410,88,51.67,24.52,23.15,4.63
286,Kutum,8,SD,1547944411,65,14.2,24.66,49.02,3.4
287,Zarya,80,RU,1547944413,99,45.67,39.64,33.45,7.99
288,Ayan,56,TR,1547944414,90,40.67,33.6,16.22,1.39
289,Smithers,75,CA,1547942400,74,54.78,-127.17,35.6,5.82
290,Thai Binh,75,VN,1547942400,100,20.45,106.33,66.2,3.36
291,Am Timan,0,TD,1547944417,47,11.04,20.28,63.06,3.18
292,Soto la Marina,0,MX,1547944419,35,23.77,-98.21,63.74,18.16
293,Sao Joao da Barra,12,BR,1547944243,96,-21.64,-41.05,81.2,28.57
294,Yevlax,90,AZ,1547938800,92,40.61,47.15,28.4,1.61
295,Broome,8,GB,1547942160,100,52.47,1.45,28.58,2.24
296,Warmbad,80,DE,1547943600,85,50.67,13.08,17.6,1.12
297,Ust-Kan,44,RU,1547944425,52,50.93,84.77,-2.42,2.39
298,Dikson,64,RU,1547944426,100,73.51,80.55,8.7,9.1
299,Scarborough,32,GB,1547941800,93,54.28,-0.41,35.6,1.12
300,Kahului,40,US,1547942160,62,20.89,-156.47,80.96,21.92
301,Walvis Bay,0,NA,1547942400,82,-22.95,14.51,62.6,8.05
302,Dharchula,0,IN,1547944431,69,29.85,80.53,29.13,1.72
303,Kalawit,80,PH,1547944432,81,7.91,122.53,75.84,5.64
304,Rincon,40,US,1547943300,66,32.3,-81.24,68.0,4.7
305,Ariyalur,20,IN,1547942400,82,11.14,79.07,68.0,6.93
306,Port Blair,40,IN,1547942400,88,11.67,92.75,77.0,4.7
307,Mragowo,56,PL,1547944436,90,53.86,21.31,26.34,11.45
308,Matay,64,EG,1547944438,87,28.42,30.79,40.56,4.74
309,Shingu,75,JP,1547942400,76,33.72,135.99,57.2,3.36
310,Bonneville,75,FR,1547943600,92,46.08,6.41,30.2,2.24
311,Amapa,20,HN,1547942400,78,15.09,-87.97,78.8,11.41
312,Sena Madureira,76,BR,1547944443,94,-9.07,-68.66,76.25,2.95
313,Daru,36,SL,1547944444,89,7.99,-10.85,74.58,3.51
314,Nunoa,44,PE,1547944445,76,-14.48,-70.64,40.92,3.06
315,Awbari,44,LY,1547944446,66,26.59,12.77,56.27,8.77
316,Alpine,90,US,1547943360,67,43.07,-85.69,19.94,14.99
317,Havoysund,32,NO,1547941800,79,71.0,24.66,19.4,17.22
318,Isangel,92,VU,1547944450,100,-19.55,169.27,78.18,17.6
319,Kamiiso,75,JP,1547942400,74,41.82,140.65,28.4,4.7
320,Presidente Olegario,24,BR,1547944453,76,-18.42,-46.42,70.89,0.94
321,Evensk,68,RU,1547944454,100,61.92,159.24,14.82,20.62
322,Makakilo City,40,US,1547942220,54,21.35,-158.09,82.94,9.17
323,Mpika,92,ZM,1547944456,95,-11.84,31.4,63.02,12.12
324,Pipri,0,IN,1547944457,92,24.21,83.02,46.82,2.95
325,Dingle,92,PH,1547944459,99,11.0,122.67,73.14,9.1
326,Saravan,20,AM,1547942400,79,39.72,45.65,19.4,4.7
327,Warrnambool,64,AU,1547944461,96,-38.38,142.48,65.49,6.42
328,Hasaki,75,JP,1547942400,59,35.73,140.83,37.4,1.12
329,Kangalassy,32,RU,1547942400,63,62.35,129.97,-49.01,4.47
330,Sungaipenuh,56,ID,1547944465,91,-2.08,101.38,67.07,1.39
331,Torbay,20,CA,1547942400,73,47.66,-52.73,19.4,12.75
332,Kimbe,92,PG,1547944467,100,-5.56,150.15,75.21,4.07
333,Watertown,75,US,1547943300,55,44.9,-97.12,-0.94,3.36
334,Terrak,90,NO,1547941800,100,65.09,12.37,26.6,5.82
335,Huarmey,36,PE,1547944471,71,-10.07,-78.15,70.85,3.62
336,Mehran,0,IR,1547942400,92,33.12,46.17,23.0,6.93
337,Lompoc,1,US,1547942160,63,34.64,-120.46,73.04,10.29
338,Guangyuan,0,CN,1547944475,65,32.43,105.86,23.91,4.07
339,Haines Junction,36,CA,1547944476,84,60.75,-137.51,-8.22,2.39
340,Wasilla,1,US,1547942400,83,61.58,-149.44,15.08,3.06
341,Tilichiki,88,RU,1547944478,81,60.47,166.1,22.65,6.98
342,Petropavlovsk-Kamchatskiy,90,RU,1547942400,86,53.05,158.65,33.8,11.18
343,Okhotsk,36,RU,1547944481,100,59.36,143.24,-11.55,12.57
344,Renqiu,0,CN,1547944482,40,38.71,116.1,20.67,7.65
345,Ixtapa,40,MX,1547941680,83,20.71,-105.21,77.0,9.17
346,Liyang,0,CN,1547942400,80,31.42,119.48,39.2,4.47
347,Nemuro,75,JP,1547942400,79,43.32,145.57,19.4,2.24
348,Komsomolskiy,80,RU,1547944487,89,67.55,63.78,14.1,11.23
349,Saint-Michel-des-Saints,68,CA,1547944225,52,46.68,-73.92,-10.47,3.51
350,Bayburt,48,TR,1547944489,69,40.26,40.22,2.54,3.74
351,Rantepao,64,ID,1547944491,100,-2.97,119.9,69.59,2.73
352,Vidim,0,CZ,1547942400,85,50.47,14.53,21.2,6.93
353,Kulhudhuffushi,0,MV,1547944493,100,6.62,73.07,79.35,3.18
354,Porto Nacional,75,BR,1547938800,88,-10.7,-48.41,77.0,6.2
355,Fallon,90,US,1547942160,84,46.84,-105.12,17.96,5.82
356,Clyde River,1,CA,1547942700,74,70.47,-68.59,-25.61,3.36
357,Keetmanshoop,0,NA,1547942400,11,-26.57,18.15,69.8,8.05
358,Moengo,92,SR,1547944499,73,5.62,-54.4,79.67,5.08
359,Oktyabrskoye,0,RU,1547942400,78,56.73,85.44,15.8,11.18
360,San Remo,90,AU,1547942400,78,-33.21,151.52,77.0,10.29
361,Monte Alegre,8,BR,1547944503,96,-2.0,-54.07,75.66,2.73
362,Campbell River,75,CA,1547942400,93,50.02,-125.24,46.4,3.36
363,Vila Velha,40,BR,1547942400,94,-3.71,-38.6,78.8,3.36
364,Grand Gaube,75,MU,1547938800,94,-20.01,57.66,77.0,3.36
365,Faya,0,SA,1547942400,81,18.39,42.45,53.6,4.7
366,Quatre Cocos,75,MU,1547938800,94,-20.21,57.76,77.0,3.36
367,Nesbyen,0,NO,1547944510,68,60.57,9.1,5.55,0.94
368,Kamenka,68,RU,1547944512,90,53.19,44.05,19.19,12.12
369,Natal,20,BR,1547942400,78,-5.81,-35.21,82.4,8.05
370,Namibe,20,AO,1547944514,100,-15.19,12.15,74.94,5.41
371,Omboue,80,GA,1547944497,100,-1.57,9.26,81.2,6.76
372,Iesolo,0,IT,1547943600,74,45.53,12.64,33.8,3.36
373,Hambantota,32,LK,1547944518,100,6.12,81.12,74.67,9.1
374,Sao Filipe,8,CV,1547944519,95,14.9,-24.5,71.7,16.82
375,Lewistown,40,US,1547943300,78,40.39,-90.15,21.2,18.34
376,Man,32,CI,1547944521,90,7.41,-7.55,69.27,3.18
377,Dumalaguing,100,PH,1547944523,100,8.35,125.06,71.25,3.74
378,Tateyama,75,JP,1547942400,75,36.66,137.31,44.6,8.05
379,Pangkalanbuun,44,ID,1547944525,96,-2.68,111.62,76.79,4.18
380,Bar Harbor,90,US,1547943900,72,44.39,-68.2,10.4,11.41
381,Aksarka,0,RU,1547944528,65,66.56,67.8,-8.81,5.53
382,Whitecourt,90,CA,1547942400,84,54.14,-115.68,6.8,5.82
383,Kavieng,100,PG,1547944530,100,-2.57,150.8,78.05,10.0
384,Fukue,75,JP,1547942400,81,35.03,136.69,42.8,14.99
385,Baruun-Urt,0,MN,1547944533,67,46.68,113.28,-3.14,14.14
386,Victoria Falls,88,ZW,1547944534,90,-17.93,25.84,68.69,3.74
387,Catia La Mar,8,VE,1547944535,100,10.6,-67.03,76.83,22.19
388,Great Falls,75,US,1547942280,53,47.5,-111.29,43.88,18.34
389,Kabanjahe,40,ID,1547938800,94,3.1,98.49,77.0,4.7
390,Nuuk,80,GL,1547941800,92,64.17,-51.74,19.4,17.22
391,Lorengau,92,PG,1547944540,100,-2.02,147.27,80.3,12.57
392,Storforshei,56,NO,1547944541,73,66.4,14.52,4.11,2.17
393,Maholi,12,IN,1547944543,86,27.65,80.48,49.38,2.73
394,Paamiut,76,GL,1547944544,100,61.99,-49.67,29.0,25.21
395,Vila do Maio,75,CV,1547942400,64,15.13,-23.22,69.8,17.22
396,Dunedin,0,NZ,1547944420,55,-45.87,170.5,63.24,19.73
397,Warrington,90,GB,1547943600,93,53.39,-2.59,39.2,6.93
398,Yulara,48,AU,1547942400,25,-25.24,130.99,89.6,16.11
399,Machiques,32,VE,1547944550,60,10.06,-72.55,75.66,6.98
400,Vaitape,36,PF,1547944551,100,-16.52,-151.75,82.82,11.56
401,Iskateley,80,RU,1547944552,79,67.68,53.15,8.61,3.18
402,Chupa,40,PE,1547942400,50,-15.11,-69.99,55.4,9.17
403,Ancud,92,CL,1547942400,72,-41.87,-73.83,64.4,4.7
404,Wanning,75,AT,1547943600,79,48.64,13.53,23.0,5.82
405,Kruisfontein,0,ZA,1547944557,89,-34.0,24.73,59.87,7.2
406,Atar,0,MR,1547944558,45,20.52,-13.05,50.55,7.09
407,Antalaha,92,MG,1547944560,100,-14.9,50.28,75.66,5.64
408,Luvianos,68,MX,1547944561,54,18.92,-100.4,66.03,2.17
409,Kodinsk,80,RU,1547944562,76,58.6,99.18,20.45,8.43
410,Myanaung,0,MM,1547944563,100,18.28,95.32,56.67,3.06
411,Oussouye,0,SN,1547942400,56,12.49,-16.54,71.6,6.93
412,Saint-Pierre,80,FR,1547942400,82,48.95,4.24,33.8,8.05
413,Manado,20,ID,1547942400,78,1.49,124.85,82.4,1.95
414,Karacabey,75,TR,1547941800,100,40.21,28.36,44.6,3.36
415,Elizabeth City,90,US,1547943600,93,36.3,-76.22,55.04,16.11
416,Moyale,0,ET,1547944571,61,3.52,39.05,63.65,5.97
417,Perivolion,75,GR,1547943600,87,39.42,20.01,51.8,17.22
418,Maragogi,80,BR,1547944574,98,-9.01,-35.22,75.66,4.52
419,Chontalpa,24,MX,1547944575,58,17.7,-93.52,79.94,19.73
420,Manjakandriana,75,MG,1547942400,93,-18.92,47.81,66.2,5.82
421,Arman,92,RU,1547944577,58,59.7,150.17,-7.32,4.63
422,Ust-Maya,36,RU,1547944578,96,60.42,134.54,-42.02,2.51
423,Birjand,40,IR,1547942400,53,32.86,59.22,26.6,4.7
424,Dakoro,24,NE,1547944581,66,14.51,6.76,61.85,2.73
425,Ketchikan,90,US,1547942160,85,55.34,-131.65,42.98,11.41
426,Saint George,75,GR,1547941800,93,39.45,22.34,44.6,2.95
427,Severo-Kurilsk,80,RU,1547944585,98,50.68,156.12,32.42,21.3
428,Tabat,64,ID,1547944586,97,-2.64,115.23,75.17,2.62
429,Pombas,80,BR,1547944587,86,-15.9,-54.74,76.2,3.62
430,Sibolga,32,ID,1547944588,100,1.74,98.78,67.34,1.95
431,Oistins,20,BB,1547942400,73,13.07,-59.53,77.0,9.17
432,Celestun,24,MX,1547944591,95,20.87,-90.4,75.44,19.06
433,Xuddur,20,SO,1547944592,55,4.12,43.89,67.7,9.66
434,Marrakesh,20,MA,1547942400,81,31.63,-7.99,50.0,6.93
435,Nelson Bay,90,AU,1547942400,78,-32.72,152.14,77.0,10.29
436,Kaeo,48,NZ,1547944596,63,-35.1,173.78,78.54,10.78
437,Oranjemund,0,ZA,1547944597,92,-28.55,16.43,63.78,29.24
438,Maniitsoq,80,GL,1547944598,100,65.42,-52.9,17.57,7.99
439,Neiafu,90,TO,1547942400,88,-18.65,-173.98,78.8,9.17
440,Merritt,90,CA,1547942400,81,50.11,-120.79,42.8,20.8
441,Axim,20,GH,1547944602,100,4.87,-2.24,82.19,5.75
442,Porto Velho,40,BR,1547942400,88,-8.75,-63.87,80.6,1.12
443,Talaya,0,RU,1547942400,78,55.79,84.89,15.8,11.18
444,Cherkasskoye,0,RU,1547944606,89,52.43,47.21,19.64,12.8
445,Banjar,48,ID,1547944607,95,-7.37,108.54,74.49,2.39
446,Tiksi,32,RU,1547944584,0,71.64,128.87,-46.83,2.62
447,College,90,US,1547942280,82,64.86,-147.8,1.04,3.18
448,Paitan,8,CN,1547942400,77,23.49,113.78,60.8,4.47
449,Praia,0,BR,1547938800,37,-20.25,-43.81,82.4,4.7
450,Natalio,80,PY,1547944613,80,-26.76,-55.14,73.41,3.62
451,Sayyan,0,YE,1547944614,72,15.17,44.32,36.65,2.06
452,Muriwai Beach,92,NZ,1547942400,64,-36.82,174.45,73.4,18.34
453,Villarrica,20,CL,1547942400,87,-39.28,-72.23,55.4,6.93
454,Guipavas,20,FR,1547942400,93,48.43,-4.4,42.8,3.36
455,Katima Mulilo,8,NA,1547944619,93,-17.5,24.28,67.25,3.06
456,Elbistan,8,TR,1547944620,53,38.2,37.19,3.93,2.06
457,Emba,20,CY,1547942400,87,34.81,32.42,55.4,3.36
458,Sur,0,OM,1547944623,100,22.57,59.53,70.26,8.99
459,Hue,75,VN,1547942400,100,16.47,107.58,68.0,5.82
460,Pangnirtung,12,CA,1547944625,61,66.15,-65.72,-34.23,3.51
461,Ponta Delgada,20,PT,1547942400,76,37.73,-25.67,57.2,9.17
462,Dukhovnitskoye,8,RU,1547944627,90,52.48,48.21,23.6,13.47
463,Banff,76,CA,1547944629,71,51.18,-115.57,23.64,4.52
464,Olinda,75,EC,1547942400,74,-2.03,-79.75,80.6,9.17
465,Kenai,1,US,1547942160,76,60.55,-151.26,17.06,4.7
466,Matagami,0,NG,1547944632,69,9.67,8.4,60.5,0.38
467,Sal Rei,75,CV,1547942400,64,16.18,-22.92,68.0,16.11
468,Palmares do Sul,100,BR,1547944635,96,-30.26,-50.51,69.72,13.69
469,Cherskiy,24,RU,1547944636,50,68.75,161.3,-29.91,4.41
470,Puquio,92,PE,1547944637,100,-14.69,-74.12,43.35,1.72
471,Kyrnasivka,76,UA,1547944638,76,48.6,28.98,16.49,6.2
472,West Mifflin,90,US,1547943540,100,40.36,-79.87,39.2,9.17
473,Kijang,0,KR,1547942400,91,35.24,129.21,41.0,6.93
474,Plastun,0,RU,1547944642,66,44.76,136.29,1.86,5.19
475,Nouadhibou,0,MR,1547942400,72,20.93,-17.03,60.8,17.22
476,Cooma,0,AU,1547942400,56,-36.24,149.13,71.6,11.41
477,Panguipulli,0,CL,1547942400,56,-39.64,-72.33,71.6,5.82
478,Roura,75,GF,1547942400,83,4.73,-52.33,78.8,8.05
479,Luanda,40,AO,1547942400,83,-8.83,13.24,78.8,2.24
480,Bloemfontein,0,ZA,1547942400,41,-29.12,26.22,60.8,8.05
481,San Lorenzo,20,HN,1547944651,67,13.43,-87.45,84.39,7.09
482,Ukiah,90,US,1547942160,93,39.15,-123.21,55.94,5.82
483,Sindor,80,RU,1547944654,85,62.87,51.9,12.12,5.53
484,Moindou,0,NC,1547942400,58,-21.69,165.68,82.4,14.99
485,Victoria,75,BN,1547942400,88,5.28,115.24,82.4,2.24
486,Yanam,0,IN,1547944658,82,16.73,82.22,67.34,3.74
487,Sterling,90,US,1547943780,100,39.0,-77.4,40.1,5.82
488,Kisangani,36,CD,1547944660,86,0.52,25.21,74.94,4.41
489,Itacoatiara,56,BR,1547944546,95,-3.14,-58.44,77.64,2.17
490,Linjiang,0,CN,1547944662,74,41.81,126.91,-1.34,5.75
491,Itoman,75,JP,1547942400,60,26.12,127.67,73.4,12.75
492,Lachhmangarh,32,IN,1547944665,80,27.82,75.03,48.39,3.18
493,Morondava,36,MG,1547944666,99,-20.3,44.28,80.75,3.62
494,Zhangjiakou,0,CN,1547944667,64,40.77,114.88,1.19,6.64
495,Bati,36,ET,1547944668,80,11.19,40.02,57.75,2.51
496,Lyubech,76,UA,1547944670,93,51.7,30.66,19.77,5.75
497,Ewa Beach,40,US,1547942220,54,21.32,-158.01,82.94,9.17
498,Dauphin,1,CA,1547942400,75,51.15,-100.04,-16.61,3.36
499,Aloleng,0,PH,1547944673,93,16.13,119.78,79.26,3.96
500,Andros,0,GR,1547943600,71,37.83,24.93,53.6,6.93
501,Saldanha,100,PT,1547944676,96,41.42,-6.55,44.16,7.09
502,Yarada,0,IN,1547942400,100,17.65,83.27,62.6,3.36
503,Iquitos,40,PE,1547942400,88,-3.75,-73.25,78.8,1.12
504,Nurota,80,UZ,1547940600,80,40.56,65.69,35.6,11.41
505,Iberia,12,PE,1547944681,85,-11.41,-69.49,78.59,2.17
506,Ca Mau,0,VN,1547944682,91,9.18,105.15,76.97,10.67
507,Bideford,88,GB,1547941800,93,51.02,-4.21,42.8,5.82
508,Cabo San Lucas,5,MX,1547941320,38,22.89,-109.91,78.8,5.82
509,Halifax,90,CA,1547942400,65,44.65,-63.58,8.6,11.41
510,Kitakata,80,JP,1547944687,94,37.67,139.86,35.16,0.94
511,Ambon,90,FR,1547942400,93,47.55,-2.56,44.6,5.82
512,Linxi,92,CN,1547942400,72,23.65,116.7,66.2,2.24
513,Namatanai,92,PG,1547944690,100,-3.66,152.44,79.98,13.58
514,Humboldt,80,CA,1547944691,79,52.21,-105.12,-9.03,12.46
515,Barkhan,80,PK,1547944693,95,29.9,69.52,40.74,2.95
516,Kalmunai,56,LK,1547944694,96,7.42,81.82,71.16,9.55
517,Verkhnyaya Inta,56,RU,1547944695,66,65.99,60.32,2.45,2.39
518,Aleksandrov Gay,32,RU,1547944696,93,50.14,48.57,30.66,12.8
519,Goderich,44,CA,1547944697,99,43.74,-81.71,10.37,15.59
520,Padang,40,ID,1547942400,100,-0.92,100.36,77.0,3.36
521,Vila,44,IT,1547943600,85,45.18,8.4,35.6,5.82
522,Banda Aceh,24,ID,1547944701,98,5.56,95.32,74.94,4.97
523,Conde,64,BR,1547944703,88,-11.81,-37.61,78.59,8.43
524,Fairview,90,US,1547943300,82,40.81,-74.0,37.94,11.41
525,Puerto Leguizamo,92,CO,1547944706,97,-0.19,-74.78,72.69,2.17
526,Zlobin,0,HR,1547942400,59,45.29,14.65,37.4,9.17
527,Shaunavon,76,CA,1547944708,78,49.65,-108.41,17.79,11.79
528,Siyabuswa,8,ZA,1547944709,93,-25.11,29.06,61.71,3.62
529,Poum,100,MK,1547944711,100,41.28,20.71,34.08,2.17
530,Tari,32,NG,1547944712,55,12.41,4.49,72.96,5.64
531,Houlton,90,US,1547942160,54,46.13,-67.84,-4.01,6.93
532,Harper,1,US,1547942100,36,30.3,-99.24,53.96,12.75
533,Muscat,0,OM,1547941800,68,23.6,58.55,68.0,4.7
534,Puerto Escondido,75,MX,1547941200,74,15.86,-97.07,80.6,3.74
535,Bathsheba,20,BB,1547942400,73,13.22,-59.52,77.0,9.17
536,Jishou,100,CN,1547944719,99,28.26,109.7,36.78,7.2
537,Puerto del Rosario,88,ES,1547942400,63,28.5,-13.86,64.4,10.29
538,Zaysan,0,KZ,1547944722,69,47.47,84.87,-3.77,5.08
539,Guane,20,CU,1547944723,71,22.2,-84.09,76.38,4.63
540,Teguise,40,ES,1547942400,72,29.06,-13.56,62.6,9.17
541,Koshurnikovo,68,RU,1547944725,63,54.3,93.39,1.86,3.51
542,Agadir,0,MA,1547942400,87,30.42,-9.58,51.8,5.82
543,Listvyanskiy,56,RU,1547944728,85,54.44,83.49,19.41,12.12
544,Massakory,0,TD,1547944729,41,13.0,15.73,61.89,4.74
545,Kathu,0,ZA,1547944730,14,-27.7,23.05,61.98,15.14
546,Richards Bay,92,ZA,1547944731,98,-28.77,32.06,66.8,15.14
547,Christchurch,8,NZ,1547942400,31,-43.53,172.64,77.0,10.29
548,Sol-Iletsk,80,RU,1547944734,90,51.16,55.0,16.71,6.08
549,Itaituba,76,BR,1547944735,100,-4.26,-55.99,73.59,1.72
550,Sitka,0,US,1547944722,64,37.17,-99.65,26.16,7.2
551,Cotonou,20,BJ,1547938800,88,6.37,2.43,82.4,11.41
552,Psebay,76,RU,1547944739,81,44.12,40.81,27.02,2.73
553,Marsaxlokk,40,MT,1547943300,87,35.84,14.54,50.0,5.82
554,La Cumbre,20,DO,1547942400,78,19.55,-70.62,77.0,11.41
555,Bandarbeyla,92,SO,1547944743,100,9.49,50.81,75.8,14.03
556,Brumado,0,BR,1547944744,71,-14.2,-41.67,75.17,11.12
557,Kudahuvadhoo,56,MV,1547944745,100,2.67,72.89,81.15,11.56
558,Bongandanga,12,CD,1547944747,85,1.51,21.07,74.4,1.61
559,Kirakira,68,SB,1547944748,100,-10.46,161.92,83.49,5.19
